n_components,explained_var_pct,dimension_reduction,motor_rmse,motor_r2,total_rmse,total_r2
5,96.02082933644938,16 -> 5,7.470336917816408,0.04286202120718585,9.01753765527782,0.018652049685413008
10,99.72120555955202,16 -> 10,8.638447074029587,-0.27986901214702464,9.61154087042684,-0.11489283571124975
15,99.99999987792415,16 -> 15,8.724296481060556,-0.305434249036,9.677282148350024,-0.1301963425149555
16,100.0,16 -> 16,8.726447086041038,-0.30607792716763194,9.685382265798351,-0.13208913727595117
