Model,Motor_Test_R²,Motor_Test_RMSE,Total_Test_R²,Total_Test_RMSE,Avg_Test_R²
Lasso Regression,-0.06451166858191337,7.878220425737137,0.013021920775558748,9.043368090388855,-0.025744873903177312
Random Forest,-0.09579003211390202,7.993124682301204,-0.08269459273693158,9.471732812213366,-0.0892423124254168
Gradient Boosting,-0.190684112356154,8.332037080647801,-0.13427392687842765,9.694723545705934,-0.16247901961729083
Ridge Regression,-0.303544622367655,8.717979949450536,-0.12881807343510143,9.671379648440215,-0.21618134790137822
Linear Regression,-0.3060779271675924,8.726447086040904,-0.13208913727592186,9.685382265798225,-0.21908353222175714
Support Vector Regression (SVM),-0.5578794024045617,9.530590997522713,-0.5619554105771989,11.376554995039731,-0.5599174064908803
Neural Network (MLP),-0.8362745944508914,10.34717340838259,-1.3332119252120846,13.90444147291378,-1.084743259831488
