Model,Motor_Test_R²,Motor_Test_RMSE,Total_Test_R²,Total_Test_RMSE
Linear Regression,-0.3060779271675924,8.726447086040904,-0.13208913727592186,9.685382265798225
Ridge Regression,-0.303544622367655,8.717979949450536,-0.12881807343510143,9.671379648440215
Lasso Regression,-0.06451166858191337,7.878220425737137,0.013021920775558748,9.043368090388855
